ID,SMILES,pEC50_Clinical_Abnormal Hepatic Function,pEC50_Clinical_Cholecystitis,pEC50_Clinical_Cholelithiasis,pEC50_Clinical_Cholestasis,pEC50_Clinical_Cholestatic Jaundice,pEC50_Clinical_Hepatic Failure,pEC50_Clinical_Hepatic Necrosis,pEC50_Clinical_Hepatic Steatosis,pEC50_Clinical_Hepatitis,pEC50_Clinical_Hepatobiliary disorder,pEC50_Clinical_Hepatocellular injury,pEC50_Clinical_Hepatomegaly,pEC50_Clinical_Hyperbilirrubinemia,pEC50_Clinical_Jaundice,pEC50_Clinical_Liver Injury,pEC50_Pre_Clinical_Filtered Dose Hepatic Steatosis,pEC50_Pre_Clinical_Filtered Doses Hepatic Necrosis,pEC50_Pre_Clinical_Filtered Doses Hepatomegaly,pEC50_Pre_Clinical_Filtered Doses Liver Disorder,pEC50_Pre_Clinical_Filtered Doses liver Injury,pEC50_Pre_Clinical_Filtered Hepatic Necrosis
680,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,,,,,,,,,,,,,,,,,,-1.6989700043360187,,-1.6989700043360187,
681,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,,,,,,,,,,,,,,,,,-1.5185139398778875,-0.6020599913279624,,
682,CC(O)CN1CCN2CCN3CCN(CC1)CC(=O)O[Gd](OC(=O)C3)OC(=O)C2,,,,,,,,,,,,,,,,,,-7.0,,,
683,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,,,,,,,,,,,,,,,,,,-1.0,,-1.4771212547196624,
684,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,,,,,,,,,,,,,,,,,,-0.6989700043360189,,-0.4771212547196624,
685,O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,,,,,,,,,,,,,,,,,,-4.812913356642856,-4.812913356642856,,
686,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,,,,,,,,,,,,,,,,,,-1.1760912590556811,,,
687,NCCc1c[nH]cn1,,,,,,,,,,,,,,,,,,-2.3010299956639813,,,
688,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,,,,,,,,,,,,,,,,-0.3010299956639812,,-0.6989700043360189,
689,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,,,,,,,,,,,,,,,,,,-2.096910013008056,,,
690,C/C=C(/C)C(=O)O[C@H]1C(C)=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,,,,,,,,,,,,,,,,,,-6.698970004336019,,,
691,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,,,,,,,,,,,,,,,,,-3.903089986991944,,,
692,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,,,,,,,,,,,,,,,,,,-1.4771212547196624,,,
693,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,,,,,,,,,,,,,,,,,,-0.0,,,-1.0
694,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,,,,,,,,,,,,,,,,,,-1.954242509439325,,,-2.096910013008056
695,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,,,,,,,,,,,,,,,,,,-2.204119982655925,-2.204119982655925,,
696,COc1c2occc2cc2ccc(=O)oc12,,,,,,,,,,,,,,,,,,-1.9030899869919435,,,-1.1139433523068367
